          	      3142	       ARI	    ARI.MG	       B41	       B73	      CAST	      COUG	       GT1	     M7741	      ME49	       P89	       PRU	       RAY	     RH-88	       ROD	       SOU	TGGOATUS21	  TGSHUS28	      TGSK	       VEG	
      3142	        42	        38	        38	        16	        16	         0	        24	         0	         0	        19	         0	        17	        32	         0	         0	         1	        16	         0	        32	         0	
       ARI	        38	        42	        42	        14	        14	         0	        25	         0	         0	        17	         0	        15	        32	         0	         0	         1	        14	         0	        32	         0	
    ARI.MG	        38	        42	        42	        14	        14	         0	        25	         0	         0	        17	         0	        15	        32	         0	         0	         1	        14	         0	        32	         0	
       B41	        16	        14	        14	        42	        42	         0	        16	         0	         0	        39	         0	        41	        19	         0	         0	         0	        42	         0	        18	         1	
       B73	        16	        14	        14	        42	        42	         0	        16	         0	         0	        39	         0	        41	        19	         0	         0	         0	        42	         0	        18	         1	
      CAST	         0	         0	         0	         0	         0	        42	         6	        42	        21	         0	        22	         0	         0	        42	        21	        20	         0	        29	         0	        19	
      COUG	        24	        25	        25	        16	        16	         6	        42	         6	         6	        17	         7	        17	        26	         6	         6	         7	        16	         7	        28	         5	
       GT1	         0	         0	         0	         0	         0	        42	         6	        42	        21	         0	        22	         0	         0	        42	        21	        20	         0	        29	         0	        19	
     M7741	         0	         0	         0	         0	         0	        21	         6	        21	        42	         0	        40	         0	         0	        21	        42	        38	         0	        33	         0	        39	
      ME49	        19	        17	        17	        39	        39	         0	        17	         0	         0	        42	         0	        38	        18	         0	         0	         1	        39	         0	        19	         0	
       P89	         0	         0	         0	         0	         0	        22	         7	        22	        40	         0	        42	         0	         0	        22	        40	        39	         0	        35	         0	        38	
       PRU	        17	        15	        15	        41	        41	         0	        17	         0	         0	        38	         0	        42	        20	         0	         0	         0	        41	         0	        19	         1	
       RAY	        32	        32	        32	        19	        19	         0	        26	         0	         0	        18	         0	        20	        42	         0	         0	         0	        19	         0	        40	         1	
     RH-88	         0	         0	         0	         0	         0	        42	         6	        42	        21	         0	        22	         0	         0	        42	        21	        20	         0	        29	         0	        19	
       ROD	         0	         0	         0	         0	         0	        21	         6	        21	        42	         0	        40	         0	         0	        21	        42	        38	         0	        33	         0	        39	
       SOU	         1	         1	         1	         0	         0	        20	         7	        20	        38	         1	        39	         0	         0	        20	        38	        42	         0	        32	         1	        40	
TGGOATUS21	        16	        14	        14	        42	        42	         0	        16	         0	         0	        39	         0	        41	        19	         0	         0	         0	        42	         0	        18	         1	
  TGSHUS28	         0	         0	         0	         0	         0	        29	         7	        29	        33	         0	        35	         0	         0	        29	        33	        32	         0	        42	         0	        31	
      TGSK	        32	        32	        32	        18	        18	         0	        28	         0	         0	        19	         0	        19	        40	         0	         0	         1	        18	         0	        42	         0	
       VEG	         0	         0	         0	         1	         1	        19	         5	        19	        39	         0	        38	         1	         1	        19	        39	        40	         1	        31	         0	        42	
