Chromosome	Position	273614N_S288C	322134S_S288C	378604X_S288C	AWRI796_S288C	S288C	UWOPS03_461_4_S288C	UWOPS05_217_3_S288C	UWOPS05_227_2_S288C	UWOPS83_787_3_S288C	UWOPS87_2421_S288C	YPS128_S288C	YPS163_S288C	YPS606_S288C
@SC_CHRVI	0	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	10000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	20000	#00FEFF	#32FF00	#FF9900	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#00FEFF	#00FEFF	#00FEFF
@SC_CHRVI	30000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRVI	40000	#00FEFF	#00FEFF	#32FF00	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRVI	50000	#00FEFF	#00FEFF	#32FF00	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	60000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	70000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	80000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	90000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRVI	100000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRVI	110000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	120000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#FF9900	#32FF00	#00FEFF	#00FEFF	#00FEFF
@SC_CHRVI	130000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	140000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	150000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	160000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	170000	#00FEFF	#FF9900	#FF9900	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRVI	180000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#32FF00
@SC_CHRVI	190000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRVI	200000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
