                   	      273614N_S288C	      322134S_S288C	      378604X_S288C	      AWRI796_S288C	              S288C	UWOPS03_461_4_S288C	UWOPS05_217_3_S288C	UWOPS05_227_2_S288C	UWOPS83_787_3_S288C	 UWOPS87_2421_S288C	       YPS128_S288C	       YPS163_S288C	       YPS606_S288C	
      273614N_S288C	               1092	                580	                533	                693	                503	                 11	                 17	                  8	                231	                296	                 55	                 77	                 55	
      322134S_S288C	                580	               1092	                525	                790	                542	                  7	                 14	                 10	                200	                269	                 31	                 52	                 31	
      378604X_S288C	                533	                525	               1092	                528	                545	                 12	                 20	                 13	                307	                351	                 72	                 92	                 71	
      AWRI796_S288C	                693	                790	                528	               1092	                592	                  4	                 12	                  6	                124	                206	                  7	                 25	                  7	
              S288C	                503	                542	                545	                592	               1092	                 18	                 27	                 22	                255	                284	                128	                158	                126	
UWOPS03_461_4_S288C	                 11	                  7	                 12	                  4	                 18	               1092	               1049	               1070	                 67	                 66	                  5	                  7	                  5	
UWOPS05_217_3_S288C	                 17	                 14	                 20	                 12	                 27	               1049	               1092	               1054	                 72	                 72	                  8	                  9	                  7	
UWOPS05_227_2_S288C	                  8	                 10	                 13	                  6	                 22	               1070	               1054	               1092	                 64	                 64	                  5	                  6	                  4	
UWOPS83_787_3_S288C	                231	                200	                307	                124	                255	                 67	                 72	                 64	               1092	                677	                304	                313	                303	
 UWOPS87_2421_S288C	                296	                269	                351	                206	                284	                 66	                 72	                 64	                677	               1092	                170	                177	                170	
       YPS128_S288C	                 55	                 31	                 72	                  7	                128	                  5	                  8	                  5	                304	                170	               1092	               1033	               1079	
       YPS163_S288C	                 77	                 52	                 92	                 25	                158	                  7	                  9	                  6	                313	                177	               1033	               1092	               1035	
       YPS606_S288C	                 55	                 31	                 71	                  7	                126	                  5	                  7	                  4	                303	                170	               1079	               1035	               1092	
