Chromosome	RefPosition	273614N_S288C	322134S_S288C	378604X_S288C	AWRI796_S288C	S288C	UWOPS03_461_4_S288C	UWOPS05_217_3_S288C	UWOPS05_227_2_S288C	UWOPS83_787_3_S288C	UWOPS87_2421_S288C	YPS128_S288C	YPS163_S288C	YPS606_S288C
SC_CHRIX	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_CHRIX	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_CHRIX	20000	83	84	84	83	147	76	32	21	66	68	81	82	79
SC_CHRIX	30000	174	140	103	112	366	111	105	110	67	83	67	86	67
SC_CHRIX	40000	63	63	62	64	138	69	69	69	54	50	55	54	55
SC_CHRIX	50000	50	42	21	55	132	59	59	59	25	39	26	49	25
SC_CHRIX	60000	88	91	66	90	191	75	75	75	53	46	55	77	55
SC_CHRIX	70000	91	73	65	95	198	122	122	122	30	42	30	30	30
SC_CHRIX	80000	43	41	44	43	118	54	53	54	30	34	39	40	39
SC_CHRIX	90000	58	66	79	59	191	68	68	68	49	59	82	84	82
SC_CHRIX	100000	45	44	47	54	105	33	24	31	39	43	46	43	45
SC_CHRIX	110000	45	26	18	28	78	40	36	45	44	47	45	39	45
SC_CHRIX	120000	29	18	7	26	90	36	50	50	39	23	27	30	27
SC_CHRIX	130000	84	64	36	93	186	92	90	92	87	82	91	89	91
SC_CHRIX	140000	59	17	27	22	145	86	86	86	59	52	67	64	67
SC_CHRIX	150000	37	21	27	21	131	79	77	78	59	58	60	56	60
SC_CHRIX	160000	55	17	47	10	131	60	61	60	41	45	43	47	43
SC_CHRIX	170000	72	27	73	26	162	83	83	84	45	80	71	60	71
SC_CHRIX	180000	17	43	31	49	152	71	71	73	43	47	45	46	46
SC_CHRIX	190000	16	57	26	73	121	52	52	52	53	51	51	47	51
SC_CHRIX	200000	31	37	37	36	109	25	24	24	19	19	18	32	18
SC_CHRIX	210000	42	25	36	29	168	46	46	46	23	30	37	98	36
SC_CHRIX	220000	64	2	12	12	96	51	51	51	51	57	56	60	56
SC_CHRIX	230000	39	8	6	5	94	40	40	41	24	16	43	42	43
SC_CHRIX	240000	11	82	100	96	170	57	57	57	49	75	35	47	35
SC_CHRIX	250000	40	68	74	78	148	38	38	38	55	41	41	39	41
SC_CHRIX	260000	21	38	35	62	128	39	39	39	43	47	41	33	41
SC_CHRIX	270000	21	60	55	64	116	46	46	46	42	47	47	42	47
SC_CHRIX	280000	44	56	34	50	142	61	61	61	34	51	45	49	45
SC_CHRIX	290000	25	5	6	5	110	39	40	48	21	8	49	46	39
SC_CHRIX	300000	49	19	12	9	167	72	72	72	54	54	30	56	30
SC_CHRIX	310000	56	28	56	23	122	75	75	75	56	27	38	40	38
SC_CHRIX	320000	26	19	26	19	92	38	35	35	22	28	26	24	26
SC_CHRIX	330000	66	54	65	79	185	68	68	68	58	84	45	40	45
SC_CHRIX	340000	17	15	54	22	139	72	72	70	50	52	60	51	60
SC_CHRIX	350000	12	13	47	17	119	63	64	63	42	50	60	61	60
SC_CHRIX	360000	23	39	18	12	136	53	54	53	34	49	50	63	50
SC_CHRIX	370000	25	27	20	16	142	69	69	69	36	51	54	53	54
SC_CHRIX	380000	77	94	78	91	309	174	175	175	141	116	94	91	94
SC_CHRIX	390000	107	104	106	117	280	86	86	91	70	67	63	70	69
