Chromosome	RefPosition	3142	ARI	ARI.MG	B41	B73	CAST	COUG	GT1	M7741	ME49	P89	PRU	RAY	RH-88	ROD	SOU	TGGOATUS21	TGSHUS28	TGSK	VEG
TGME49_CHRII	0	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
TGME49_CHRII	10000	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78
TGME49_CHRII	20000	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82
TGME49_CHRII	30000	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135
TGME49_CHRII	40000	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140
TGME49_CHRII	50000	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186
TGME49_CHRII	60000	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153
TGME49_CHRII	70000	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165
TGME49_CHRII	80000	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119
TGME49_CHRII	90000	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125
TGME49_CHRII	100000	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65
TGME49_CHRII	110000	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122
TGME49_CHRII	120000	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97
TGME49_CHRII	130000	164	164	164	164	164	164	164	164	164	164	164	164	164	164	164	164	164	164	164	164
TGME49_CHRII	140000	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168
TGME49_CHRII	150000	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195
TGME49_CHRII	160000	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177
TGME49_CHRII	170000	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137
TGME49_CHRII	180000	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185
TGME49_CHRII	190000	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82
TGME49_CHRII	200000	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128
TGME49_CHRII	210000	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154
TGME49_CHRII	220000	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136
TGME49_CHRII	230000	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132
TGME49_CHRII	240000	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170
TGME49_CHRII	250000	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180
TGME49_CHRII	260000	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145
TGME49_CHRII	270000	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89
TGME49_CHRII	280000	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165
TGME49_CHRII	290000	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133
TGME49_CHRII	300000	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113
TGME49_CHRII	310000	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106
TGME49_CHRII	320000	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142
TGME49_CHRII	330000	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161
TGME49_CHRII	340000	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
TGME49_CHRII	350000	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165
TGME49_CHRII	360000	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174
TGME49_CHRII	370000	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
TGME49_CHRII	380000	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148
TGME49_CHRII	390000	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128
TGME49_CHRII	400000	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165
TGME49_CHRII	410000	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188
TGME49_CHRII	420000	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147
